brand,model,name,year,unique__id,price,number_images,body_type,km,vehicle_engine,preprocessed_brand,preprocessed_model,preprocessed_body_type,preprocessed_price,preprocessed_km,preprocessed_vehicle_engine,text_content
Aprilia,RS 125,2009 Aprilia RS 125,2009,5a61c84d1eeefeb2ec0dd37b8ffeff5b1ab3a8a980c0584a3fa928f44ef5f51a,6000,10,Super Sport,9111.0,124,aprilia,rs 125,super sport,6000,9111.0,124,aprilia aprilia super sport 6000 9111.0 124
Skyteam,Ace 125,2012 Skyteam Ace 125,2012,31e512e7fe35536ca1aca8ee7fac4dbbc4ac9d3e701b57a267a9d261b4a2c9a6,1500,10,Naked,2173.0,124,skyteam,ace 125,nake,1500,2173.0,124,skyteam skyteam nake 1500 2173.0 124
Skyteam,Ace 125,2012 Skyteam Ace 125,2012,c6dffc79a4cda085de357eec1bc0366f25efc548e1514280eaddbf5d69d7bf01,2100,6,Naked,4900.0,124,skyteam,ace 125,nake,2100,4900.0,124,skyteam skyteam nake 2100 4900.0 124
Vespa,125 (VN),1957 Vespa 125 (VN),1957,7bbf9549a1a4c82eb9b195ce27877a2d63fc298dd365c652bcb5780721cab569,50000,18,Scooters,,124,vespa,125 ( vn ),scooter,50000,,124,vespa vespa scooter 50000 nan 124
Vespa,LX S 125,2008 Vespa LX S 125,2008,a8ef61a6879102ea0a6174acdd09903edb3c78ba693767746665ebfb605925f8,2300,3,Scooters,30500.0,124,vespa,lx 125,scooter,2300,30500.0,124,vespa vespa scooter 2300 30500.0 124
Kymco,Like 125,2010 Kymco Like 125,2010,1ae6c9aead4ff5c89229d9a452922ff0d6d8045244b23f3db3164ab539356731,2000,8,Scooters,7647.0,124,kymco,like 125,scooter,2000,7647.0,124,kymco kymco scooter 2000 7647.0 124
Suzuki,GS125 ESD,1985 Suzuki GS125 ESD,1985,3c6d13b8a1fa9b9ae28ce592eec4855c8104fa3c89aa81585b49b608f30971be,2700,3,Naked,450.0,124,suzuki,gs125 esd,nake,2700,450.0,124,suzuki suzuki nake 2700 450.0 124
Aprilia,SR MT 125,2013 Aprilia SR MT 125,2013,0e38430a08e18c03addca85e5d01cd58f55e44524facf1a87b42864ed1598ebb,2400,6,Scooters,3658.0,124,aprilia,sr mt 125,scooter,2400,3658.0,124,aprilia aprilia scooter 2400 3658.0 124
Bolwell Scoota,Arriba 125,2007 Bolwell Scoota Arriba 125,2007,103dc46c5de92a278401382b617b0241aea6b9ef76c29aa614f27c256f810afa,1250,8,Scooters,34102.0,124,bolwel scoota,arriba 125,scooter,1250,34102.0,124,bolwel scoota bolwel scoota scooter 1250 34102.0 124
Torino,Famosa 125,2018 Torino Famosa 125,2018,b715b77f988a34d47a12c78528b450a6d2c6085e4a5ea12467a24f3560df1c69,2550,3,Scooters,500.0,124,torino,famosa 125,scooter,2550,500.0,124,torino torino scooter 2550 500.0 124
IKONIK,Legend 125,2018 IKONIK Legend 125,2018,6176b3be0e66abb99d1fd191ba22391c16a48ba4c246c4abab1a8105b386c36b,3800,3,Scooters,10.0,124,ikonik,legend 125,scooter,3800,10.0,124,ikonik ikonik scooter 3800 10.0 124
Kymco,Super 8 125,2017 Kymco Super 8 125,2017,b3ad3ef5a1e6f90981504c60d5b5a95ab3ddb144215d7b3d82e6b9f2c5c71f11,2500,7,Scooters,11500.0,124,kymco,super 8 125,scooter,2500,11500.0,124,kymco kymco scooter 2500 11500.0 124
Kymco,Super 8 125,2018 Kymco Super 8 125,2018,4663ff13f9c000b0e8c5cb393d07da96e94f74f257930f860e105b6f42b31000,3490,8,Scooters,,124,kymco,super 8 125,scooter,3490,,124,kymco kymco scooter 3490 nan 124
Aprilia,RS4 125 (4T),2012 Aprilia RS4 125 (4T),2012,cdccf2fdece60a3a5e5ded4babdc66de9708b74ef3cb4c5a0adaa82f631f4e3a,4000,4,Super Sport,2269.0,124,aprilia,rs4 125 ( 4t ),super sport,4000,2269.0,124,aprilia aprilia super sport 4000 2269.0 124
Aprilia,RS4 125 (4T),2012 Aprilia RS4 125 (4T),2012,9f08e0653116efdde78ce21071e4692db9064bec20d04ae995d4faaa668569ad,3200,11,Super Sport,3000.0,124,aprilia,rs4 125 ( 4t ),super sport,3200,3000.0,124,aprilia aprilia super sport 3200 3000.0 124
Honda,Grom (MSX125),2017 Honda Grom (MSX125),2017,4c3cb5f2be8e94a9cb8ef2511272db16d52819ea3e131fb24ac1731504ca4e92,4500,5,Naked,4506.0,124,honda,grom ( msx125 ),nake,4500,4506.0,124,honda honda nake 4500 4506.0 124
Honda,Grom (MSX125),2017 Honda Grom (MSX125),2017,e84854e3aaafa574805f11ad953df2a00e46fd56f26728d69b67dfb503b986b6,8500,5,Naked,900.0,124,honda,grom ( msx125 ),nake,8500,900.0,124,honda honda nake 8500 900.0 124
Honda,Grom (MSX125),2016 Honda Grom (MSX125),2016,b29989021dab4cce669b46849ab10f83b58f42d0f1a06e02a492b6dae22b6ef7,3000,4,Naked,1900.0,124,honda,grom ( msx125 ),nake,3000,1900.0,124,honda honda nake 3000 1900.0 124
Honda,Grom (MSX125),2017 Honda Grom (MSX125),2017,f5b85fa5d224285bc673bbc0b2ce049c89a4faffdbcedc56ea1c3532123ac657,5500,10,Naked,7300.0,124,honda,grom ( msx125 ),nake,5500,7300.0,124,honda honda nake 5500 7300.0 124
TGB,Bellavita 125i,2015 TGB Bellavita 125i,2015,e03195e8c842a38db44bf10000e9d43d2091a3dd354bb60ffd4d3ae0cb147d06,3499,10,Scooters,6350.0,124,tgb,bellavita 125i,scooter,3499,6350.0,124,tgb tgb scooter 3499 6350.0 124
Yamaha,Tricity (MW125),2014 Yamaha Tricity (MW125) MY15,2014,fd5b8807678ab6b8b32f70759da2cd6fa76f7d96f44b5af9eedc9473207d5073,3990,5,Scooters,6524.0,124,yamaha,triciti ( mw125 ),scooter,3990,6524.0,124,yamaha yamaha scooter 3990 6524.0 124
SYM,X-Pro 125 Ute Scoot,2016 SYM X-Pro 125 Ute Scoot,2016,c732b124a3ba72555ad172cabac7fe3643af33ea1f8a4713570722794525f63e,2500,4,Scooters,6200.0,124,sym,x-pro 125 ute scoot,scooter,2500,6200.0,124,sym sym scooter 2500 6200.0 124
Suzuki,GSX-R125 (GSX-R125A),2018 Suzuki GSX-R125 (GSX-R125A),2018,c1caff1929b666a13c2277c111805400b5f968f10af4d637c7380f4e38a0dbfa,3790,21,Super Sport,10.0,124,suzuki,gsx-r125 ( gsx-r125a ),super sport,3790,10.0,124,suzuki suzuki super sport 3790 10.0 124
Suzuki,GSX-S125 (GSX-S125A),2018 Suzuki GSX-S125 (GSX-S125A),2018,7a1983c32404479bc27629583eed229be04e38610f0ce18d6713bc80ef56ccb8,2990,16,Naked,1500.0,124,suzuki,gsx-s125 ( gsx-s125a ),nake,2990,1500.0,124,suzuki suzuki nake 2990 1500.0 124
Honda,CBR125R,2012 Honda CBR125R,2012,d91c4e9b3b11283a221ffe9a0581c444e87bce888c665ebf05f7b76bccb521ea,2300,5,Super Sport,12091.0,125,honda,cbr125r,super sport,2300,12091.0,125,honda honda super sport 2300 12091.0 125
Honda,CBR125R,2008 Honda CBR125R,2008,abbff81ef726cc538195fd5b63271fa73cf3323639fbf2ee827aabea20d2b7f0,3000,4,Super Sport,19650.0,125,honda,cbr125r,super sport,3000,19650.0,125,honda honda super sport 3000 19650.0 125
